SYMBOL	GSE12251_logFC	GSE12251_PValue	GSE12251_adjP	GSE16879_logFC	GSE16879_PValue	GSE16879_adjP	GSE23597_logFC	GSE23597_PValue	GSE23597_adjP	GSE12251_direction	GSE16879_direction	GSE23597_direction	max_same_direction_cohorts	nominal_p_lt_0_05_cohorts
BHLHE22-AS1	-1.62033994446368	0.00272824920118999	0.15457722805706	1.16924425832583	0.0235822550972205	0.489506377160414	-0.679931224066064	0.0892619820047071	0.978703585101868	up_in_nonresponders	up_in_responders	up_in_nonresponders	2	2
CTBP1	0.391607022969379	0.00278128237419891	0.155677362636191	0.577306797113894	0.175659703576893	0.70091351896311	0.210831918322394	0.0127073261936491	0.978703585101868	up_in_responders	up_in_responders	up_in_responders	3	2
SORBS2	0.627621732520888	0.00279315104926589	0.155677362636191	1.10449476799123	0.0473340754945354	0.542464044651176	-0.309233619097291	0.0924358639852514	0.978703585101868	up_in_responders	up_in_responders	up_in_nonresponders	2	2
ADAMTS12	-0.978784061690439	0.00285236080847501	0.156692619311378	-1.40031305363947	0.000364813104512131	0.31028576288925	-0.127924733502112	0.607626007240168	0.982702442133709	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
TNFSF13B	-1.06427852742261	0.00286512079872884	0.156807286957457	-0.790926571435636	0.0142168816630078	0.437239610809998	-0.324492099966852	0.182696772190007	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
SPATA6L	0.468997068217966	0.00290379998873965	0.157349122283786	0.950555399345049	0.102367965805332	0.625400649312931	-0.798525818344931	0.0144340430146832	0.978703585101868	up_in_responders	up_in_responders	up_in_nonresponders	2	2
SLC26A4-AS1	1.6834657772931	0.0029184394141797	0.157544135924303	0.258652518287168	0.753653937303893	0.947918772074772	1.18294730127186	0.00775405537836322	0.978703585101868	up_in_responders	up_in_responders	up_in_responders	3	2
LTB4R	-0.795147371196052	0.00300559272118561	0.160479279326976	-1.06955409985454	0.0366595542183724	0.520644673310791	-0.18847069049136	0.544462343127196	0.982702442133709	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
LNX2	0.561484975857676	0.00302708453925573	0.160880232406107	0.577115823067036	0.00529567526400166	0.385010038712513	0.224200472678054	0.146091648463825	0.978703585101868	up_in_responders	up_in_responders	up_in_responders	3	2
SLA	-0.931729242146615	0.0030278145248447	0.160880232406107	-1.07843984291975	0.00405567033910415	0.364406519443386	-0.276809877624432	0.230050931754665	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
